Name,Age,Department,Role,Years_of_Experience,Skillset,Project_Success_Rate,Mentor,Mentee
Samantha Brown,34,Engineering,Engineer,5,"Java, Electrical Engineering, Data Analysis",0.65,NA,
Shannon Steele,37,Logistics,Logistics Coordinator,3,"Inventory Management, Warehouse Management",0.82,,NA
Leonard Pennington,28,Engineering,Junior Engineer,0,"Systems Engineering, Data Analysis",1.0,,NA
Dominic Lee,37,Logistics,Logistics Coordinator,3,"Supply Chain Management, Warehouse Management, Data Analysis",0.9,,NA
Gregory Hayes,25,IT,IT Support,2,"Cloud Computing, System Administration",0.7,,NA
Michael Allen,46,Engineering,Senior Engineer,9,"Java, Data Analysis, Electrical Engineering, Python",0.68,NA,
Jonathan Lara,55,Operations,Operations Manager,11,"Risk Management, Time Management, Process Improvement, Data Analysis",0.69,NA,
Michaela Lewis,36,Engineering,Senior Engineer,6,"Systems Engineering, Machine Learning",0.66,NA,
Joshua Mcintosh,28,Logistics,Logistics Coordinator,2,"Communication, Data Analysis",0.68,,NA
Whitney Clark,28,IT,IT Support,2,Cybersecurity,0.6,,NA
Katie Cain,33,Engineering,Engineer,3,"Systems Engineering, Java",0.95,,NA
Shannon Fleming,25,Operations,Logistics Coordinator,1,Time Management,0.68,,NA
Jasmine Gray,25,IT,IT Support,1,"Cybersecurity, Communication",0.58,,NA
Jeremy Michael,49,Operations,Operations Manager,7,"Teamwork, Project Management, Risk Management",0.6,NA,
Kristine Ryan,27,Engineering,Junior Engineer,0,"Data Analysis, Systems Engineering",0.54,,NA
Kendra Bates,31,Customer Service,Customer Service Executive,3,"Problem Solving, Customer Relationship Management, Teamwork",0.63,,NA
Travis Baldwin,27,Operations,Logistics Coordinator,1,Process Improvement,0.88,,NA
Michael Lewis,26,Operations,Logistics Coordinator,2,Risk Management,0.73,,NA
Ellen Smith,28,Operations,Logistics Coordinator,2,"Risk Management, Data Analysis",0.99,,NA
Miss Lisa Carpenter,25,Customer Service,Customer Service Executive,2,Teamwork,0.74,,NA
Thomas Dean,31,Logistics,Logistics Coordinator,3,"Warehouse Management, Inventory Management",0.59,,NA
Jason Knight,27,Logistics,Logistics Coordinator,2,Warehouse Management,0.57,,NA
Danielle Kelly,26,Operations,Logistics Coordinator,1,"Risk Management, Time Management",0.96,,NA
Danielle Castillo,27,Engineering,Junior Engineer,1,Machine Learning,0.88,,NA
Mariah Skinner,28,Engineering,Junior Engineer,0,"Systems Engineering, Machine Learning",0.91,,NA
Bradley Prince,44,Operations,Operations Manager,12,"Teamwork, Project Management, Time Management, Process Improvement, Data Analysis",0.72,NA,
Laura Watson MD,35,Engineering,Engineer,5,"CAD Design, Python",0.99,NA,
Sarah Anderson,26,Customer Service,Customer Service Executive,0,Conflict Resolution,0.87,,NA
Christopher Parker,26,Engineering,Junior Engineer,2,Python,0.84,,NA
Shawn Smith,30,Engineering,Engineer,3,"Machine Learning, Electrical Engineering",0.86,,NA
Ashley Avila,41,Operations,Operations Manager,7,"Risk Management, Process Improvement, Project Management",0.98,NA,
Brian Davis,27,Logistics,Logistics Coordinator,2,"Warehouse Management, Data Analysis",0.89,,NA
William Quinn,25,Operations,Logistics Coordinator,2,Risk Management,0.58,,NA
Jeffrey Perez,50,Operations,Operations Manager,12,"Time Management, Process Improvement, Project Management, Teamwork, Risk Management, Data Analysis",0.71,NA,
William Hines,34,Engineering,Engineer,3,"Java, Data Analysis, Electrical Engineering",0.54,,NA
Hunter Sutton,25,IT,IT Support,0,"Python, Cloud Computing",0.53,,NA
Bradley Villegas,41,Engineering,Senior Engineer,6,"Machine Learning, Java, Data Analysis",0.89,NA,
Mary Roberts,27,Operations,Logistics Coordinator,2,Project Management,0.9,,NA
Jay Hudson,48,Operations,Operations Manager,10,"Data Analysis, Teamwork, Project Management, Process Improvement, Time Management, Risk Management",0.99,NA,
Sandra Thomas,34,Engineering,Engineer,3,"Data Analysis, Java",1.0,,NA
Dustin Bruce,37,Engineering,Senior Engineer,7,"Data Analysis, Java, CAD Design, Electrical Engineering",0.84,NA,
Andrew Walton,30,Customer Service,Customer Service Executive,3,"Problem Solving, Teamwork",0.75,,NA
Sharon Cantu,33,Engineering,Engineer,5,"Data Analysis, Systems Engineering, Java",1.0,NA,
Angel Colon,41,Engineering,Senior Engineer,9,"Python, Java, Electrical Engineering",0.61,NA,
Christine Norris,50,Operations,Operations Manager,10,"Risk Management, Project Management, Process Improvement, Time Management, Data Analysis, Teamwork",0.61,NA,
Nancy Adams,46,Operations,Operations Manager,10,"Data Analysis, Process Improvement, Risk Management, Time Management, Teamwork",0.61,NA,
Charles Williams,38,Engineering,Engineer,3,"Machine Learning, Systems Engineering",0.94,,NA
Jimmy Montes,29,IT,IT Support,0,"Java, Communication",0.74,,NA
