Name,Age,Department,Role,Years_of_Experience,Skillset,Project_Success_Rate,Mentor,Mentee
Deborah Bradley,29,Customer Service,Customer Service Executive,2,Problem Solving,0.68,Jamie Thompson,
Stacy Riley,30,Engineering,Engineer,5,"Python, Data Analysis",0.89,Kimberly Lewis,
Thomas Bond,35,Logistics,Logistics Coordinator,3,"Networking, Data Analysis",0.64,,
Angela Stewart,35,Logistics,Logistics Coordinator,3,"Inventory Management, Networking, Communication",0.57,,
Barbara Woods,25,IT,IT Support,2,"Networking, Communication",0.93,,
Patricia Wright,30,Operations,Logistics Coordinator,4,"Project Management, Process Improvement",0.89,,
Timothy Fleming,52,Operations,Operations Manager,13,"Process Improvement, Project Management, Teamwork, Time Management, Data Analysis, Risk Management",1.0,,
Michael Smith,54,Operations,Operations Manager,11,"Project Management, Process Improvement, Risk Management, Teamwork, Data Analysis",0.9,,
Carla Murray,29,Customer Service,Customer Service Executive,1,Conflict Resolution,0.63,,
Katelyn Thompson,46,Operations,Operations Manager,10,"Process Improvement, Risk Management, Teamwork, Time Management, Project Management, Data Analysis",0.75,,
Melanie Greene,25,Customer Service,Customer Service Executive,1,Customer Relationship Management,0.57,,
Jessica James,30,Customer Service,Customer Service Executive,3,"Teamwork, Conflict Resolution, Customer Relationship Management",0.72,,
Xavier Shannon,28,IT,IT Support,1,"Java, Communication",0.86,,
Matthew Johnson,29,Engineering,Junior Engineer,2,"CAD Design, Java",0.79,,
Chad Spencer,28,IT,IT Support,1,Networking,0.72,,
Eric Hernandez,33,Customer Service,Customer Service Executive,3,"Customer Relationship Management, Conflict Resolution",0.93,,
Jacqueline Rivera,38,Operations,Logistics Coordinator,4,"Time Management, Teamwork",0.96,,
Lisa Stewart,46,Engineering,Senior Engineer,6,"Systems Engineering, CAD Design",0.93,,
James Harrison,53,Operations,Operations Manager,12,"Teamwork, Process Improvement, Time Management, Data Analysis, Project Management",0.98,,
Anna Sawyer,53,Operations,Operations Manager,11,"Process Improvement, Project Management, Risk Management, Data Analysis, Teamwork",0.75,,
Anthony Moore Jr.,45,Engineering,Senior Engineer,9,"Electrical Engineering, Java, Machine Learning",0.55,,
Mark Rodriguez,39,Operations,Operations Manager,7,"Data Analysis, Risk Management, Teamwork",0.54,,
