Name,Age,Department,Role,Years_of_Experience,Skillset,Project_Success_Rate,Mentor,Mentee
Christy Smith,29,Engineering,Junior Engineer,1,"CAD Design, Data Analysis",0.65,Vanessa Sanders,
Jessica Roberson,40,Operations,Operations Manager,10,"Project Management, Risk Management, Teamwork, Data Analysis, Process Improvement, Time Management",0.94,,
Mike Sanchez,27,Logistics,Logistics Coordinator,1,"Networking, Supply Chain Management",0.93,Kimberly Wood,
Kristin Hernandez,33,Engineering,Senior Engineer,6,"Data Analysis, Machine Learning, Python",0.67,,
Jon Brown,44,Operations,Operations Manager,8,"Process Improvement, Time Management, Data Analysis",0.76,,
Kelly Marshall,28,Engineering,Junior Engineer,1,"Data Analysis, Machine Learning",0.74,Kristen Boyd,
Michelle Morgan,30,Operations,Logistics Coordinator,4,"Time Management, Data Analysis, Project Management",0.54,,
Jane Duke,28,IT,IT Support,2,Cybersecurity,0.92,Jerome Li,
Wendy Mcbride,48,Operations,Operations Manager,8,"Teamwork, Project Management, Risk Management",0.86,,
Brenda Hall,47,Operations,Operations Manager,8,"Process Improvement, Time Management, Risk Management",0.58,,
Jennifer Soto,34,Engineering,Senior Engineer,6,"CAD Design, Data Analysis",0.63,,
Lynn Mullins,27,Customer Service,Customer Service Executive,1,Customer Relationship Management,0.82,,
Colleen Harper,54,Operations,Operations Manager,14,"Teamwork, Project Management, Data Analysis, Risk Management, Time Management, Process Improvement",0.53,,
Michael Fox,37,Engineering,Engineer,4,"Electrical Engineering, Machine Learning, Data Analysis",0.72,,
Blake Flores,28,Operations,Logistics Coordinator,2,Risk Management,0.65,,
Kimberly Bright,29,Operations,Logistics Coordinator,1,Teamwork,1.0,Jesse Clark,
Nathan Washington,48,Engineering,Senior Engineer,8,"CAD Design, Java, Electrical Engineering, Systems Engineering",0.72,,
Dr. Joyce Frazier PhD,26,Operations,Logistics Coordinator,1,Time Management,0.81,,
Amber Watson,49,Operations,Operations Manager,11,"Project Management, Process Improvement, Data Analysis, Risk Management, Time Management, Teamwork",0.51,,
Keith Brown,29,Customer Service,Customer Service Executive,1,Conflict Resolution,0.56,,
Mrs. Dawn Delgado,37,Engineering,Engineer,3,"Systems Engineering, Machine Learning",0.72,,
Diane Wright,25,IT,IT Support,1,Networking,0.72,,
Cody Arnold,38,Logistics,Logistics Coordinator,3,"Communication, Inventory Management, Warehouse Management",0.72,,
Melissa Lopez,39,Engineering,Engineer,5,"CAD Design, Machine Learning, Python",0.62,,
Charles Parsons,36,Operations,Logistics Coordinator,3,"Project Management, Process Improvement",0.66,,
Michelle Lee,34,Engineering,Engineer,4,"Java, Data Analysis, CAD Design",0.55,,
Lauren Smith,39,Logistics,Logistics Coordinator,4,"Data Analysis, Communication, Inventory Management",0.69,,
Anthony Harrison,29,Engineering,Junior Engineer,0,"CAD Design, Electrical Engineering",0.53,,
Jeffrey Quinn,27,Logistics,Logistics Coordinator,2,Data Analysis,0.74,,
William Duncan,47,Engineering,Senior Engineer,6,"Systems Engineering, Data Analysis",0.62,,
Stephen Smith,49,Operations,Operations Manager,10,"Teamwork, Data Analysis, Project Management, Process Improvement, Risk Management",0.79,,
William Carson,29,Customer Service,Customer Service Executive,1,Communication,0.67,,
Jeffery Nixon,38,Logistics,Logistics Coordinator,3,"Inventory Management, Networking, Communication",0.58,,
John Garcia,39,Logistics,Logistics Coordinator,3,"Networking, Data Analysis",0.84,,
Timothy Stephenson,26,Customer Service,Customer Service Executive,1,Communication,1.0,,
Jennifer Rice,40,Operations,Operations Manager,10,"Risk Management, Process Improvement, Data Analysis, Time Management, Project Management",0.86,,
Patricia Garza,33,Operations,Operations Manager,7,"Teamwork, Project Management, Risk Management",0.78,,
Heather David,25,Logistics,Logistics Coordinator,1,"Warehouse Management, Communication",0.92,,
Terri Young,49,Engineering,Senior Engineer,6,"Java, Systems Engineering",0.77,,
Kyle Chase,25,Engineering,Junior Engineer,1,"Python, Systems Engineering",0.95,,
Jeffrey Sexton,25,Customer Service,Customer Service Executive,1,"Teamwork, Customer Relationship Management",0.64,,
Richard Mckay,39,Operations,Logistics Coordinator,4,"Teamwork, Project Management, Time Management",0.74,,
Taylor Taylor,31,Operations,Operations Manager,7,"Risk Management, Teamwork, Project Management, Data Analysis",0.83,,
Sandra Vasquez,25,Logistics,Logistics Coordinator,1,"Networking, Data Analysis",0.68,,
Kari Diaz,38,Engineering,Senior Engineer,7,"Java, CAD Design, Electrical Engineering",0.55,,
Bailey Thomas,39,Engineering,Senior Engineer,7,"Python, Machine Learning, CAD Design, Data Analysis",0.81,,
Steven Francis,36,Engineering,Engineer,5,"CAD Design, Systems Engineering, Electrical Engineering",0.77,,
Jennifer Dominguez,27,Engineering,Junior Engineer,2,"Systems Engineering, Machine Learning",0.57,,
Christopher Miller,33,Engineering,Engineer,5,"Java, Data Analysis, Systems Engineering",0.84,,
Karen Hansen,25,Operations,Logistics Coordinator,2,Project Management,0.69,,
Nancy Diaz,41,Operations,Operations Manager,11,"Time Management, Project Management, Risk Management, Teamwork, Data Analysis, Process Improvement",0.58,,
Mr. Anthony Glenn DVM,52,Operations,Operations Manager,12,"Risk Management, Teamwork, Time Management, Project Management, Process Improvement, Data Analysis",0.62,,
Mr. Andrew Novak,28,IT,IT Support,1,Cloud Computing,0.98,,
Laurie Ortiz,27,Logistics,Logistics Coordinator,1,"Data Analysis, Networking",0.67,,
Jason Chen,46,Engineering,Senior Engineer,7,"Electrical Engineering, Python, Machine Learning, Java",0.68,,
Travis Gomez,43,Engineering,Senior Engineer,6,"Python, Systems Engineering",0.54,,
Christine Hawkins,54,Operations,Operations Manager,11,"Project Management, Data Analysis, Risk Management, Time Management, Process Improvement, Teamwork",0.97,,
James Patel,41,Operations,Operations Manager,11,"Project Management, Teamwork, Process Improvement, Time Management",0.88,,
Caitlin Barrett,31,Logistics,Logistics Coordinator,3,"Networking, Data Analysis",0.85,,
Anita Haley,25,Logistics,Logistics Coordinator,2,Communication,0.97,,
Robin Hartman,48,Operations,Operations Manager,8,"Risk Management, Teamwork, Process Improvement",0.91,,
Mrs. Lorraine Reyes MD,31,Operations,Logistics Coordinator,4,"Data Analysis, Risk Management, Project Management",0.87,,
Sarah Riddle,51,Operations,Operations Manager,11,"Project Management, Time Management, Risk Management, Data Analysis, Process Improvement, Teamwork",0.73,,
Haley Johnson,34,Engineering,Senior Engineer,7,"Electrical Engineering, CAD Design, Data Analysis",0.54,,
Brandon Murray,28,Customer Service,Customer Service Executive,1,"Customer Relationship Management, Conflict Resolution",0.9,,
Catherine Flowers,48,Engineering,Senior Engineer,8,"Machine Learning, CAD Design, Python",0.76,,
Chad Mccarthy,29,IT,IT Support,1,Java,0.68,,
Julie Clark,40,Engineering,Senior Engineer,7,"Data Analysis, Systems Engineering, Machine Learning",0.85,,
Jason Torres,27,Customer Service,Customer Service Executive,1,"Customer Relationship Management, Communication",0.96,,
Joseph Lowery,34,Customer Service,Customer Service Executive,3,"Communication, Customer Relationship Management",0.65,,
Deanna Smith,26,Engineering,Junior Engineer,1,"Machine Learning, Java",0.54,,
Elizabeth Bean,34,Engineering,Senior Engineer,7,"Java, Systems Engineering, CAD Design, Python",0.59,,
Steven Jones,30,Engineering,Senior Engineer,6,"Electrical Engineering, Python, Data Analysis",0.59,,
Andrea Turner,54,Operations,Operations Manager,12,"Project Management, Teamwork, Time Management, Data Analysis, Risk Management, Process Improvement",0.54,,
Kimberly Norman,27,Customer Service,Customer Service Executive,2,Problem Solving,0.62,,
Renee White,47,Operations,Operations Manager,10,"Project Management, Teamwork, Time Management, Process Improvement, Risk Management, Data Analysis",0.75,,
Barry Wilson,28,Operations,Logistics Coordinator,1,Project Management,0.87,,
Andrew Mendoza,26,Operations,Logistics Coordinator,1,"Process Improvement, Risk Management",0.53,,
Elizabeth Jones,39,Operations,Logistics Coordinator,4,"Project Management, Time Management",0.66,,
Caroline Townsend,38,Engineering,Engineer,3,"Python, Machine Learning, Java",0.86,,
Mr. Mark Gutierrez Jr.,48,Operations,Operations Manager,7,"Project Management, Data Analysis, Teamwork",0.92,,
Christina Miller,29,Logistics,Logistics Coordinator,1,Warehouse Management,0.98,,
Grant Owens,32,Logistics,Logistics Coordinator,4,"Inventory Management, Supply Chain Management, Networking",0.7,,
Victoria White,48,Operations,Operations Manager,12,"Process Improvement, Teamwork, Time Management, Data Analysis",0.72,,
Jennifer French,27,IT,IT Support,2,Networking,0.95,,
Jill Nelson,39,Engineering,Engineer,4,"Java, Python, CAD Design",0.81,,
Tasha Turner,47,Operations,Operations Manager,7,"Risk Management, Time Management, Data Analysis, Process Improvement",0.62,,
Wesley Edwards,34,Logistics,Logistics Coordinator,4,"Supply Chain Management, Inventory Management",0.74,,
Kelli Moore,31,Operations,Logistics Coordinator,3,"Process Improvement, Risk Management",0.62,,
Tracy Smith,33,Engineering,Engineer,3,"Systems Engineering, CAD Design",0.89,,
Gregory Evans,40,Operations,Operations Manager,11,"Risk Management, Project Management, Time Management, Process Improvement",0.73,,
Ashley Flores,27,Operations,Logistics Coordinator,1,"Project Management, Time Management",0.51,,
Kelly Brown,46,Operations,Operations Manager,11,"Risk Management, Project Management, Time Management, Teamwork, Data Analysis, Process Improvement",0.7,,
Nicole James,26,IT,IT Support,0,Cloud Computing,0.92,,
Elizabeth Simpson,36,Engineering,Engineer,5,"Systems Engineering, Data Analysis",0.9,,
Nathan Palmer,27,Customer Service,Customer Service Executive,0,"Problem Solving, Conflict Resolution",0.61,,
Derrick Smith,42,Engineering,Senior Engineer,7,"Data Analysis, Systems Engineering, CAD Design, Java",0.9,,
Kelly Diaz,25,Engineering,Junior Engineer,1,"CAD Design, Data Analysis",0.55,,
Katie Miller,43,Operations,Operations Manager,7,"Teamwork, Time Management, Process Improvement",0.79,,
Joel Garcia,28,IT,IT Support,0,System Administration,0.91,,
Luis Hall,30,Operations,Logistics Coordinator,3,"Teamwork, Data Analysis",0.81,,
Kathryn Roberson,45,Operations,Operations Manager,11,"Data Analysis, Time Management, Risk Management, Teamwork",0.63,,
Briana Guerrero,26,Logistics,Logistics Coordinator,1,"Inventory Management, Communication",0.91,,
Jason Taylor,27,Engineering,Junior Engineer,2,Java,0.63,,
Clinton Robertson PhD,28,Customer Service,Customer Service Executive,1,"Problem Solving, Teamwork",0.68,,
Maria Singleton,29,Customer Service,Customer Service Executive,2,"Customer Relationship Management, Teamwork",0.85,,
Monica Henson,36,Engineering,Engineer,4,"Java, Electrical Engineering",0.87,,
Michael Edwards,27,Customer Service,Customer Service Executive,2,"Teamwork, Customer Relationship Management",0.62,,
Cheyenne Baker,29,IT,IT Support,1,"System Administration, Communication",0.68,,
